eco_code,name
B51,"Sicilian, Canal-Sokolsky (Rossolimo) Attack (B51)"
C64,"Ruy Lopez, Classical (C64)"
B47,"Sicilian, Taimanov (Bastrikov) Variation (B47)"
C70,Ruy Lopez (C70)
C04,"French, Tarrasch, Guimard Main line (C04)"
C68,"Ruy Lopez, Exchange (C68)"
C60,Ruy Lopez (C60)
E07,"Catalan, Closed (E07)"
E04,"Catalan, Open, 5.Nf3 (E04)"
B87,"Sicilian, Fischer-Sozin with ...a6 and ...b5 (B87)"
D34,"Queen's Gambit Declined, Tarrasch (D34)"
E44,"Nimzo-Indian, Fischer Variation, 5.Ne2 (E44)"
D20,Queen's Gambit Accepted (D20)
E68,"King's Indian, Fianchetto, Classical Variation, 8.e4 (E68)"
D23,Queen's Gambit Accepted (D23)
C52,Evans Gambit (C52)
E89,"King's Indian, Samisch, Orthodox Main line (E89)"
C40,King's Knight Opening (C40)
C61,"Ruy Lopez, Bird's Defense (C61)"
D91,"Grunfeld, 5.Bg5 (D91)"
E64,"King's Indian, Fianchetto, Yugoslav System (E64)"
E22,"Nimzo-Indian, Spielmann Variation (E22)"
A23,"English, Bremen System, Keres Variation (A23)"
E34,"Nimzo-Indian, Classical, Noa Variation (E34)"
A27,"English, Three Knights System (A27)"
A22,English (A22)
A28,English (A28)
A16,English (A16)
B82,"Sicilian, Scheveningen (B82)"
E17,Queen's Indian (E17)
A69,"Benoni, Four Pawns Attack, Main line (A69)"
E53,"Nimzo-Indian, 4.e3 (E53)"
A77,"Benoni, Classical, 9...Re8, 10.Nd2 (A77)"
A14,English (A14)
B37,"Sicilian, Accelerated Fianchetto (B37)"
D17,Queen's Gambit Declined Slav (D17)
E47,"Nimzo-Indian, 4.e3 O-O 5.Bd3 (E47)"
D77,"Neo-Grunfeld, 6.O-O (D77)"
D48,"Queen's Gambit Declined Semi-Slav, Meran (D48)"
D59,"Queen's Gambit Declined, Tartakower (D59)"
E33,"Nimzo-Indian, Classical (E33)"
E31,"Nimzo-Indian, Leningrad, Main line (E31)"
A24,"English, Bremen System with ...g6 (A24)"
B19,"Caro-Kann, Classical (B19)"
C81,"Ruy Lopez, Open, Howell Attack (C81)"
C74,"Ruy Lopez, Modern Steinitz Defense (C74)"
C58,Two Knights (C58)
B98,"Sicilian, Najdorf (B98)"
A11,"English, Caro-Kann Defensive System (A11)"
C65,"Ruy Lopez, Berlin Defense (C65)"
C75,"Ruy Lopez, Modern Steinitz Defense (C75)"
B58,Sicilian (B58)
D11,Queen's Gambit Declined Slav (D11)
E02,"Catalan, Open, 5.Qa4 (E02)"
E03,"Catalan, Open (E03)"
D26,Queen's Gambit Accepted (D26)
E95,"King's Indian, Orthodox, 7...Nbd7, 8.Re1 (E95)"
B63,"Sicilian, Richter-Rauzer Attack (B63)"
E85,"King's Indian, Samisch, Orthodox Variation (E85)"
C20,King's Pawn Game (C20)
C71,Ruy Lopez (C71)
D27,"Queen's Gambit Accepted, Classical (D27)"
A63,"Benoni, Fianchetto, 9...Nbd7 (A63)"
D92,"Grunfeld, 5.Bf4 (D92)"
B97,"Sicilian, Najdorf (B97)"
C37,King's Gambit Accepted (C37)
A06,Reti Opening (A06)
E35,"Nimzo-Indian, Classical, Noa Variation, 5.cd ed (E35)"
D33,"Queen's Gambit Declined, Tarrasch (D33)"
A94,"Dutch, Stonewall with Ba3 (A94)"
A92,Dutch (A92)
E98,"King's Indian, Orthodox, Taimanov, 9.Ne1 (E98)"
A97,"Dutch, Ilyin-Genevsky (A97)"
D47,Queen's Gambit Declined Semi-Slav (D47)
E21,"Nimzo-Indian, Three Knights (E21)"
E27,"Nimzo-Indian, Samisch Variation (E27)"
C32,"King's Gambit Declined, Falkbeer Counter Gambit (C32)"
D01,Richter-Veresov Attack (D01)
C31,"King's Gambit Declined, Falkbeer Counter Gambit (C31)"
C28,Vienna Game (C28)
C25,Vienna (C25)
